RAG EVALUATION QA PAIRS
Total pairs: 16
======================================================================


[01]  id=v1_neural_network__neuron_mechanics
  REASONING  : This tests semantic precision by requiring the model to retrieve the exact metaphorical terms ('support' vs. 'freedom') used to distinguish the two layers, rather than defaulting to generic definitions like 'receives data' and 'produces predictions'.

  SOURCE     : , I have given the description in front of you like a child, now in the layer , the place from where you get support, you call input layer and the place from where you get freedom, you call it output ...


[14]  id=v4_ml_dl_hi__backprop_gradient
  Video      : CodeWithHarry — All About ML & Deep Learning (Hindi, translated)
  Timestamp  : 12:15 → 12:30
  Concept    : backprop_gradient
  Failure    : negation_misconception
  Keywords   : gradient, loss function, minimize

  QUESTION   : Wasn't LSTM designed to handle exploding gradients rather than vanishing gradients?
  ANSWER     : No, LSTM (Long Short-Term Memory) networks were specifically created to solve the vanishing gradient problem, not the exploding gradient problem. They were designed to handle long sequences where vanishing gradients make training standard RNNs difficult.
  REASONING  : This question embeds the common misconception that LSTM targets exploding gradients, directly testing whether the RAG system can retrieve and assert the correct distinction that LSTM addresses the vanishing gradient problem.

  SOURCE     : आर एन एन रिकरेंट न्यूरल नेटवर्क उसी के सा सा एलएसटीएम होते हैं लॉन्ग शॉर्ट टर्म मेमोरी वाले न्यूरल नेटवर्क्स इनको लंगर Sequences and vanishing gradient has been created to solve the problem. I had mad...


[15]  id=v4_ml_dl_hi__attention_mechanism
  Video      : CodeWithHarry — All About ML & Deep Learning (Hindi, translated)
  Timestamp  : 1:46 → 2:08
  Concept    : attention_mechanism
  Failure    : multi_hop
  Keywords   : value

  QUESTION   : If today's precipitation, humidity, and temperature values are fed into the system, what does the system produce as an output and what underlying process makes that possible?
  ANSWER     : The system produces a prediction about whether it will rain today (a true/false outcome). This is made possible by machine learning and AI, which learn from historical labeled examples of precipitation, humidity, and temperature paired with whether it rained or not.
  REASONING  : This question forces a two-step connection: first retrieving the specific input features (precipitation, humidity, temperature) that drive the new prediction, then linking them to the stated output type and the broader mechanism (machine learning and AI) that enables it.

  SOURCE     : I will say, brother, when the precipitation was this much, , humidity, this much, temperature, then it rained, was precipitation, humidity, temperature, this much, , it did not rain, then when I will ...


[16]  id=v4_ml_dl_hi__ml_dl_taxonomy
  Video      : CodeWithHarry — All About ML & Deep Learning (Hindi, translated)
  Timestamp  : 1:02 → 1:16
  Concept    : ml_dl_taxonomy
  Failure    : taxonomy
  Keywords   : machine learning is

  QUESTION   : What category of process does machine learning fall under, based on its core definition?
  ANSWER     : Machine learning is defined as the process of training an algorithm on data. It is fundamentally a data-driven training process, not a rule-based or manually programmed one.
  REASONING  : This tests taxonomy by requiring the respondent to correctly classify machine learning within its definitional category (a training process) rather than conflating it with broader or adjacent categories like statistics or explicit programming.

  SOURCE     : You want and this thing may seem a little bad but I would say save your career want to save your career What is machine learning Machine learning is the process of to train an algorithm on data What d...

======================================================================
END
